Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta
TRX-10094,PROD-2893,05/12/2024,1,1291.75,24.48,3,Devuelto,Barranquilla,Físico
TRX-10095,PROD-2554,30/09/2025,1,364.35,16.2,24,Entregado,Medellín,WhatsApp
TRX-10096,PROD-2105,29/01/2025,1,1584.38,,20,Retrasado,Ventas_Web,Online
TRX-10097,PROD-3621,05/06/2025,3,605.4,71.74,24,Perdido,Barranquilla,Físico
TRX-10098,PROD-3818,18/11/2025,10,278.64,40.28,17,En Camino,Cali,Físico
TRX-10099,PROD-3281,11/05/2025,13,850.9,35.18,16,Entregado,Medellín,Físico
TRX-10100,PROD-1899,01/02/2026,-5,191.03,68.77,11,Retrasado,Bogotá,WhatsApp
TRX-10101,PROD-3804,06/02/2025,12,533.85,36.68,13,Devuelto,Medellín,Físico
TRX-10102,PROD-2328,08/09/2025,6,748.95,59.39,18,Retrasado,Cali,Online
TRX-10103,PROD-1229,21/12/2025,6,1705.21,33.45,14,Retrasado,MED,Físico
TRX-10104,PROD-1938,28/10/2025,5,1587.17,79.46,2,Perdido,Bucaramanga,WhatsApp
TRX-10105,PROD-1131,12/09/2025,13,891.08,34.68,12,Entregado,Ventas_Web,WhatsApp
TRX-10106,PROD-2292,12/01/2025,13,1451.9,55.82,22,,Medellín,Online
TRX-10107,PROD-2643,20/01/2026,14,1141.61,7.2,21,Retrasado,MED,WhatsApp
TRX-10108,PROD-2096,27/07/2025,7,688.28,,29,Devuelto,Bucaramanga,Online
TRX-10109,PROD-1271,15/02/2025,5,1454.49,80.21,26,Devuelto,Medellín,App
TRX-10110,PROD-1864,13/12/2025,14,1370.16,63.93,10,Perdido,Medellín,Físico
TRX-10111,PROD-3323,25/10/2024,2,1242.0,23.26,29,Retrasado,Barranquilla,App
TRX-10112,PROD-3940,09/06/2025,4,1239.73,25.46,7,Devuelto,BOG,App
TRX-10113,PROD-2288,18/12/2024,1,1369.13,29.94,2,,BOG,App
TRX-10114,PROD-1870,19/08/2025,7,775.25,59.77,25,Devuelto,BOG,Online
TRX-10115,PROD-3684,02/12/2025,4,1739.46,57.09,18,Perdido,Bucaramanga,Físico
TRX-10116,PROD-3044,14/06/2025,13,332.99,31.02,17,Retrasado,MED,App
TRX-10117,PROD-2620,08/08/2025,4,1768.93,70.94,16,Perdido,Bucaramanga,Online
TRX-10118,PROD-3633,22/10/2024,13,691.14,89.46,2,Retrasado,Medellín,WhatsApp
TRX-10119,PROD-2879,19/10/2025,4,258.81,9.13,11,Devuelto,Cali,App
TRX-10120,PROD-1585,12/05/2025,3,1204.05,,19,,Cali,Online
TRX-10121,PROD-2084,16/10/2025,8,758.21,44.63,22,Entregado,Ventas_Web,Online
TRX-10122,PROD-1571,07/12/2024,4,1632.84,61.38,7,Devuelto,Bucaramanga,Online
TRX-10123,PROD-2010,13/12/2025,8,867.26,60.71,27,Entregado,Barranquilla,Online
TRX-10124,PROD-3299,29/01/2025,9,1340.44,6.86,22,Retrasado,Ventas_Web,Físico
TRX-10125,PROD-3207,20/06/2025,1,623.43,25.0,17,Retrasado,Barranquilla,WhatsApp
TRX-10126,PROD-2076,20/12/2024,4,426.81,10.87,15,En Camino,Cali,Online
TRX-10127,PROD-3394,01/01/2026,6,782.22,59.05,9,Retrasado,Barranquilla,App
TRX-10128,PROD-2754,18/11/2025,8,1217.55,66.31,12,Retrasado,Medellín,WhatsApp
TRX-10129,PROD-3390,11/03/2025,14,1317.32,20.18,8,En Camino,Ventas_Web,Físico
TRX-10130,PROD-2635,28/01/2025,6,1160.63,36.64,28,Entregado,BOG,App
TRX-10131,PROD-2482,15/03/2025,12,1976.23,36.33,2,Retrasado,Medellín,WhatsApp
TRX-10132,PROD-1898,03/12/2025,6,1385.27,,17,Perdido,Bucaramanga,WhatsApp
TRX-10133,PROD-1566,18/10/2024,10,1863.72,82.88,16,Retrasado,MED,Físico
TRX-10134,PROD-3087,22/11/2024,4,244.69,23.49,23,Retrasado,BOG,App
TRX-10135,PROD-3021,23/01/2026,9,132.13,57.09,16,Devuelto,Bogotá,App
TRX-10136,PROD-1372,06/10/2025,7,628.88,79.38,3,Retrasado,Cali,Online
TRX-10137,PROD-1192,28/11/2024,14,281.81,83.81,19,Retrasado,BOG,WhatsApp
TRX-10138,PROD-1449,04/12/2025,11,1056.48,68.32,16,Perdido,Cali,App
TRX-10139,PROD-1626,02/11/2025,6,1042.77,33.46,11,En Camino,Bogotá,Físico
TRX-10140,PROD-3570,18/10/2024,1,1154.34,83.19,26,En Camino,Barranquilla,App
TRX-10141,PROD-1655,14/12/2024,2,1493.0,75.51,9,En Camino,BOG,Online
TRX-10142,PROD-3787,27/01/2026,12,1942.95,71.92,14,Devuelto,Medellín,WhatsApp
TRX-10143,PROD-2729,21/09/2025,6,1757.73,11.4,2,Retrasado,Medellín,Online
TRX-10144,PROD-3442,24/09/2025,11,245.55,,13,Entregado,Cali,Físico
TRX-10145,PROD-1260,21/11/2024,1,683.64,9.11,5,Entregado,BOG,App
TRX-10146,PROD-2576,31/10/2024,11,519.09,71.06,20,Perdido,Cali,Online
TRX-10147,PROD-2563,23/01/2025,5,361.87,94.76,14,Devuelto,Barranquilla,Físico
TRX-10148,PROD-3440,11/07/2025,1,1094.0,78.5,1,,BOG,Físico
TRX-10149,PROD-2917,26/06/2025,13,1111.0,83.99,6,Devuelto,Ventas_Web,Online
TRX-10150,PROD-3167,21/11/2025,3,462.22,56.77,22,Retrasado,Barranquilla,Físico
TRX-10151,PROD-2029,01/10/2025,12,1426.68,33.94,11,,BOG,App
TRX-10152,PROD-3266,23/07/2025,12,1468.5,69.39,17,Entregado,Cali,App
TRX-10153,PROD-1047,01/07/2025,12,51.75,72.64,23,Devuelto,Barranquilla,App
TRX-10154,PROD-3786,01/04/2025,7,797.56,69.16,22,Perdido,Bogotá,Físico
TRX-10155,PROD-3952,27/12/2025,5,1781.38,94.94,14,Entregado,Ventas_Web,Físico
TRX-10156,PROD-1469,11/07/2025,12,1045.43,,14,Devuelto,Medellín,App
TRX-10157,PROD-3792,21/02/2025,10,701.78,39.88,20,Retrasado,Cali,App
TRX-10158,PROD-3199,11/10/2025,1,514.82,8.77,7,Retrasado,Bogotá,WhatsApp
TRX-10159,PROD-2092,13/05/2025,1,494.28,91.3,19,,Bogotá,Online
TRX-10160,PROD-3625,09/01/2026,8,208.54,20.25,26,Retrasado,BOG,App
TRX-10161,PROD-2393,01/11/2025,11,1636.28,71.25,27,Retrasado,MED,Físico
TRX-10162,PROD-1456,15/02/2025,14,182.45,87.95,22,Entregado,Bucaramanga,Online
TRX-10163,PROD-2202,20/06/2025,13,591.67,34.46,6,Entregado,Cali,Físico
TRX-10164,PROD-2780,23/08/2025,9,100.89,83.89,13,Devuelto,Ventas_Web,Físico
TRX-10165,PROD-1647,03/02/2025,7,1564.96,36.55,10,Perdido,BOG,WhatsApp
TRX-10166,PROD-2858,12/03/2025,13,88.17,80.45,22,En Camino,Bucaramanga,App
TRX-10167,PROD-1013,11/11/2025,3,623.52,11.63,19,En Camino,Bogotá,WhatsApp
TRX-10168,PROD-3957,20/10/2024,12,1150.86,,10,Retrasado,Cali,Online
TRX-10169,PROD-3947,05/02/2025,6,825.03,67.25,5,Devuelto,Bucaramanga,Físico
TRX-10170,PROD-2078,09/11/2025,3,571.72,69.33,13,En Camino,Ventas_Web,Físico
TRX-10171,PROD-3050,01/11/2025,10,557.63,51.69,17,En Camino,Medellín,App
TRX-10172,PROD-1731,31/12/2025,4,1597.6,70.27,22,En Camino,Cali,Físico
TRX-10173,PROD-3079,03/10/2025,12,1948.22,92.7,23,En Camino,Bucaramanga,Físico
TRX-10174,PROD-1435,21/05/2025,4,702.6,74.72,5,,Barranquilla,WhatsApp
TRX-10175,PROD-3561,01/09/2025,3,87.9,96.32,21,En Camino,Cali,App
TRX-10176,PROD-2222,08/12/2025,10,82.77,47.62,29,,MED,App
TRX-10177,PROD-3617,10/12/2025,6,1520.83,55.19,22,,BOG,App
TRX-10178,PROD-3079,30/11/2025,5,1109.22,30.06,7,Devuelto,Barranquilla,Físico
TRX-10179,PROD-3494,08/05/2025,11,1569.35,98.63,20,En Camino,Ventas_Web,WhatsApp
TRX-10180,PROD-1814,06/07/2025,9,1398.02,,7,En Camino,Cali,Online
TRX-10181,PROD-1626,22/07/2025,9,1815.94,10.24,15,,Ventas_Web,Físico
TRX-10182,PROD-2531,26/10/2024,3,1772.79,39.07,15,Devuelto,Bucaramanga,WhatsApp
TRX-10183,PROD-1661,24/09/2024,13,1578.77,33.28,21,Entregado,Bucaramanga,Online
TRX-10184,PROD-3209,19/09/2025,9,955.63,41.72,23,Entregado,MED,Físico
TRX-10185,PROD-3172,05/04/2025,13,623.17,92.18,1,Entregado,Cali,Físico
TRX-10186,PROD-1002,25/12/2024,12,1018.98,39.96,26,En Camino,Bogotá,Online
TRX-10187,PROD-3453,16/08/2025,3,1009.12,92.11,12,Devuelto,Bucaramanga,Físico
TRX-10188,PROD-2327,27/07/2025,4,1224.45,45.22,2,Entregado,MED,Físico
TRX-10189,PROD-3001,04/02/2025,1,380.33,86.2,18,Retrasado,Ventas_Web,Físico
TRX-10190,PROD-1079,14/04/2025,5,1314.68,54.57,15,Retrasado,Cali,WhatsApp
TRX-10191,PROD-1458,30/05/2025,12,918.64,34.58,7,Devuelto,Cali,WhatsApp
TRX-10192,PROD-2486,16/02/2025,9,1244.21,,9,En Camino,BOG,Físico
TRX-10193,PROD-2259,03/09/2025,2,486.81,47.69,23,,Medellín,WhatsApp
TRX-10194,PROD-1980,05/09/2025,4,874.45,45.32,28,Entregado,Barranquilla,Físico
TRX-10195,PROD-1237,03/06/2025,10,428.3,29.69,22,En Camino,Medellín,WhatsApp
TRX-10196,PROD-1986,26/10/2025,2,1751.86,32.52,3,,Barranquilla,WhatsApp
TRX-10197,PROD-3323,22/08/2025,14,981.04,22.71,21,Entregado,Barranquilla,WhatsApp
TRX-10198,PROD-1322,17/03/2025,8,457.71,36.92,10,Perdido,BOG,Online
TRX-10199,PROD-1350,25/01/2025,9,92.01,64.32,2,Perdido,Medellín,Físico
TRX-10200,PROD-3997,31/05/2025,-5,1354.72,41.72,999,En Camino,MED,Online
TRX-10201,PROD-2990,25/10/2025,3,437.14,72.67,25,Retrasado,Bogotá,WhatsApp
TRX-10202,PROD-1283,31/01/2025,13,1979.27,98.76,22,En Camino,Cali,WhatsApp
TRX-10203,PROD-3181,11/11/2024,9,1072.06,40.82,25,Entregado,Bucaramanga,Físico
TRX-10204,PROD-1515,24/12/2024,6,585.06,,25,En Camino,Ventas_Web,App
TRX-10205,PROD-1525,07/10/2025,6,1318.78,48.95,12,En Camino,Cali,Físico
TRX-10206,PROD-3702,29/07/2025,7,557.69,20.59,7,Entregado,MED,App
TRX-10207,PROD-2946,17/10/2025,12,1642.35,42.26,5,Retrasado,MED,WhatsApp
TRX-10208,PROD-3251,29/11/2025,5,623.39,74.05,4,Perdido,Ventas_Web,Online
TRX-10209,PROD-1676,03/11/2025,6,1976.61,25.65,1,,Medellín,Físico
TRX-10210,PROD-2085,30/04/2025,11,1214.24,22.3,15,Entregado,Bogotá,App
TRX-10211,PROD-3161,22/08/2025,1,1690.38,40.76,9,En Camino,Bucaramanga,App
TRX-10212,PROD-3484,22/08/2025,3,154.9,82.77,6,Devuelto,Bucaramanga,App
TRX-10213,PROD-2733,12/10/2024,12,703.12,64.25,14,En Camino,MED,Físico
TRX-10214,PROD-1867,15/04/2025,9,1477.6,95.97,2,,Bogotá,Físico
TRX-10215,PROD-3208,22/12/2024,12,1313.57,90.93,12,En Camino,BOG,App
TRX-10216,PROD-3989,10/12/2025,5,396.54,,23,Devuelto,Bucaramanga,Online
TRX-10217,PROD-3825,12/09/2025,5,718.84,19.36,28,,BOG,App
TRX-10218,PROD-1823,14/03/2025,8,534.25,9.04,6,En Camino,Bucaramanga,Online
TRX-10219,PROD-3920,30/03/2025,11,1230.61,42.91,13,Devuelto,Bogotá,Físico
TRX-10220,PROD-2276,31/07/2025,11,695.69,54.6,4,En Camino,Medellín,Físico
TRX-10221,PROD-2634,24/09/2024,13,625.02,53.98,22,Retrasado,BOG,Físico
TRX-10222,PROD-3751,18/09/2025,2,422.68,17.74,16,,Medellín,WhatsApp
TRX-10223,PROD-3661,25/11/2025,13,823.96,16.86,29,Perdido,MED,Online
TRX-10224,PROD-2529,09/03/2025,7,399.05,9.45,11,Retrasado,BOG,WhatsApp
TRX-10225,PROD-2794,25/09/2025,9,1925.51,85.83,6,Entregado,Bucaramanga,Físico
TRX-10226,PROD-3119,16/10/2024,7,317.46,95.04,5,Entregado,Medellín,App
TRX-10227,PROD-2849,09/11/2025,12,1827.48,15.99,1,En Camino,Medellín,App
TRX-10228,PROD-1495,17/12/2025,5,862.66,,19,Entregado,Bucaramanga,WhatsApp
TRX-10229,PROD-2015,22/09/2025,13,761.95,25.25,7,Entregado,Ventas_Web,App
TRX-10230,PROD-1920,29/11/2024,6,470.33,13.54,18,En Camino,Bucaramanga,Físico
TRX-10231,PROD-1262,27/09/2025,4,1275.16,88.36,10,En Camino,MED,WhatsApp
TRX-10232,PROD-2384,04/04/2025,14,1374.2,96.08,10,Perdido,MED,App
TRX-10233,PROD-1086,15/12/2024,12,940.47,29.87,17,Devuelto,BOG,WhatsApp
TRX-10234,PROD-3409,04/12/2025,7,120.86,33.84,24,En Camino,Medellín,Online
TRX-10235,PROD-3268,03/12/2025,1,1837.84,39.45,7,Perdido,Ventas_Web,WhatsApp
TRX-10236,PROD-1942,17/04/2025,4,1960.85,52.73,22,Retrasado,Ventas_Web,Online
TRX-10237,PROD-3410,10/11/2024,3,867.78,69.83,26,Entregado,MED,Online
TRX-10238,PROD-1902,24/10/2024,13,1231.19,52.92,21,Devuelto,Barranquilla,Online
TRX-10239,PROD-1029,05/08/2025,4,906.09,95.35,22,,Bogotá,App
TRX-10240,PROD-1290,11/03/2025,1,650.54,,1,Retrasado,Medellín,Online
TRX-10241,PROD-3899,29/01/2025,12,163.86,14.49,12,En Camino,BOG,App
TRX-10242,PROD-3584,13/12/2025,13,917.57,80.87,25,Retrasado,Medellín,Físico
TRX-10243,PROD-1241,02/01/2025,2,1638.59,36.78,17,,Barranquilla,App
TRX-10244,PROD-1937,27/10/2024,12,43.89,40.87,16,Perdido,Cali,WhatsApp
TRX-10245,PROD-1276,26/07/2025,11,1168.39,72.34,20,En Camino,BOG,App
TRX-10246,PROD-1128,09/04/2025,13,1762.74,93.29,15,En Camino,MED,App
TRX-10247,PROD-2353,20/07/2025,9,442.92,73.04,29,Devuelto,Cali,App
TRX-10248,PROD-1290,08/12/2024,7,374.68,78.71,19,Perdido,MED,Físico
TRX-10249,PROD-3105,26/09/2025,13,1546.83,76.32,20,Entregado,Ventas_Web,App
TRX-10250,PROD-1974,09/08/2025,6,517.62,35.49,17,Retrasado,Bogotá,WhatsApp
TRX-10251,PROD-2140,06/10/2024,2,392.05,76.91,26,,Bucaramanga,WhatsApp
TRX-10252,PROD-3740,06/09/2025,1,762.2,,4,Devuelto,Ventas_Web,Online
TRX-10253,PROD-2988,31/01/2025,2,791.08,79.53,4,,Medellín,App
TRX-10254,PROD-1877,18/05/2025,7,1749.46,55.67,3,Devuelto,Barranquilla,Físico
TRX-10255,PROD-3208,29/06/2025,2,1240.7,55.99,8,En Camino,BOG,Online
TRX-10256,PROD-1541,26/11/2024,3,817.86,77.17,23,Retrasado,Ventas_Web,WhatsApp
TRX-10257,PROD-3962,28/11/2025,8,1073.43,82.62,9,Devuelto,Bucaramanga,Online
TRX-10258,PROD-3338,07/02/2025,7,1908.39,37.03,2,En Camino,Ventas_Web,Físico
TRX-10259,PROD-3360,18/06/2025,12,235.3,81.15,26,En Camino,Bucaramanga,WhatsApp
TRX-10260,PROD-2936,08/05/2025,11,423.35,82.35,19,Perdido,Cali,WhatsApp
TRX-10261,PROD-1995,11/04/2025,11,1925.43,27.24,22,En Camino,Medellín,App
TRX-10262,PROD-2937,11/02/2025,14,1915.08,73.11,18,Entregado,Bogotá,WhatsApp
TRX-10263,PROD-2667,31/12/2024,11,362.56,22.72,16,Perdido,Barranquilla,WhatsApp
TRX-10264,PROD-1779,07/02/2025,9,298.77,,29,Perdido,Medellín,WhatsApp
TRX-10265,PROD-1386,09/03/2025,12,847.96,13.84,28,Entregado,Bucaramanga,App
TRX-10266,PROD-1397,03/11/2025,4,108.94,59.58,28,Entregado,Bucaramanga,App
TRX-10267,PROD-3699,30/12/2024,7,1313.26,91.32,18,,Bogotá,WhatsApp
TRX-10268,PROD-2765,30/07/2025,1,164.22,8.37,26,Devuelto,Cali,Físico
TRX-10269,PROD-2451,07/08/2025,11,125.48,83.52,18,,Bogotá,Físico
TRX-10270,PROD-2734,15/08/2025,11,975.52,53.11,12,Devuelto,BOG,Online
TRX-10271,PROD-2683,22/11/2025,2,1916.0,86.79,2,,Bogotá,WhatsApp
TRX-10272,PROD-2912,12/09/2025,7,859.32,85.13,29,Entregado,Medellín,WhatsApp
TRX-10273,PROD-3986,27/11/2024,2,719.4,88.15,21,Devuelto,MED,App
TRX-10274,PROD-1221,23/08/2025,6,1995.93,78.04,28,Entregado,Ventas_Web,App
TRX-10275,PROD-3758,17/08/2025,13,1068.62,85.08,1,Entregado,Cali,Físico
TRX-10276,PROD-3676,08/11/2024,10,756.73,,23,,Bucaramanga,Físico
TRX-10277,PROD-3646,25/08/2025,12,777.86,21.72,16,En Camino,Cali,Online
TRX-10278,PROD-1403,09/10/2025,9,397.97,33.87,17,Devuelto,Medellín,WhatsApp
TRX-10279,PROD-1248,11/05/2025,11,1029.32,28.04,1,Perdido,Medellín,App
TRX-10280,PROD-2649,27/07/2025,5,883.32,75.53,21,Perdido,Ventas_Web,Online
TRX-10281,PROD-3982,15/02/2025,10,548.88,19.6,23,Devuelto,MED,Online
TRX-10282,PROD-2389,17/04/2025,7,329.47,22.31,3,Devuelto,Ventas_Web,Físico
TRX-10283,PROD-1447,15/02/2025,13,629.37,88.5,23,Devuelto,BOG,WhatsApp
TRX-10284,PROD-2018,21/02/2025,1,1022.28,72.06,25,Devuelto,Bogotá,WhatsApp
TRX-10285,PROD-1784,28/06/2025,8,126.08,88.16,27,En Camino,BOG,App
TRX-10286,PROD-1779,09/02/2025,9,315.95,18.24,20,Entregado,MED,WhatsApp
TRX-10287,PROD-3196,20/02/2025,13,1895.84,42.9,16,Devuelto,Ventas_Web,Online
TRX-10288,PROD-2837,13/10/2024,5,1090.28,,21,,Medellín,WhatsApp
TRX-10289,PROD-1574,03/06/2025,6,136.26,31.9,14,Devuelto,BOG,WhatsApp
