Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,Feedback_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS,Utilidad_Dolares,SKU_Prefijo
TRX-10009,PROD-3233,21/03/2025,3,701.4,63.82,26.0,No especificado,Medellín,Físico,Smartphone,1514.0,463.84,245.0,30.0,Norte,2024-05-13,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,648.8599999999998,PROD-32
TRX-10010,PROD-1356,04/04/2025,7,917.18,68.91,14.0,Entregado,Bogotá,App,Tablets,1776.0,469.69,215.0,0.0,Norte,2025-06-30,FB-11280,5.0,1.0,no volvería,Maybe,No,30.0,-80.1,3063.5199999999995,PROD-13
TRX-10011,PROD-3418,07/12/2025,10,1119.91,20.77,3.0,Devuelto,Bogotá,Físico,Monitor,669.0,1363.57,293.0,3.0,Sur,2025-12-01,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-2457.3699999999985,PROD-34
TRX-10012,PROD-2728,01/08/2025,1,1375.59,52.36,8.0,Entregado,Cali,App,Tablets,445.0,124.9,100.0,0.0,Norte,2025-03-23,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,1198.33,PROD-27
TRX-10013,PROD-1130,10/12/2024,13,485.04,63.46,12.0,Entregado,Barranquilla,Físico,Accesorio,427.0,887.57,200.0,3.0,Sur,2025-08-07,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-5296.349999999999,PROD-11
TRX-10014,PROD-1122,21/03/2025,11,1673.53,98.3,14.0,Devuelto,Ventas_Web,Online,Tablets,1344.0,553.9,267.0,3.0,Norte,2025-02-28,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,12217.63,PROD-11
TRX-10015,PROD-1383,27/01/2026,2,1446.47,12.07,5.0,No especificado,Bucaramanga,App,Monitor,7.0,1027.07,121.0,10.0,Bod-ext-99,2025-08-16,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,826.7300000000001,PROD-13
TRX-10016,PROD-1895,04/03/2025,3,475.85,51.59,2.0,Perdido,Ventas_Web,WhatsApp,Accesorio,1865.0,1405.09,218.0,10.0,Norte,2024-04-08,FB-8191,2.0,4.0,lento,SIN RESPUESTA,Sí,32.0,-86.3,-2839.3099999999995,PROD-18
TRX-10016,PROD-1895,04/03/2025,3,475.85,51.59,2.0,Perdido,Ventas_Web,WhatsApp,Accesorio,1865.0,1405.09,218.0,10.0,Norte,2024-04-08,FB-11174,4.0,3.0,precio justo,SIN RESPUESTA,Sí,75.0,-2.6,-2839.3099999999995,PROD-18
TRX-10017,PROD-1952,12/04/2025,14,1950.2,74.64,10.0,No especificado,Ventas_Web,Online,Monitor,673.0,1010.35,109.0,5.0,Norte,2024-08-08,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,13083.26,PROD-19
TRX-10018,PROD-3069,06/10/2024,14,1332.95,9.37,3.0,Devuelto,Cali,WhatsApp,Smartphone,20.0,1369.78,296.0,30.0,Norte,2024-03-10,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-524.989999999999,PROD-30
TRX-10019,PROD-3465,04/09/2025,2,910.33,78.94,23.0,Perdido,Medellín,Online,Smartphone,38.0,890.67,137.0,5.0,Occidente,2025-04-09,FB-10154,3.0,2.0,dañado,SI,No,72.0,-4.1,-39.619999999999834,PROD-34
TRX-10020,PROD-1108,26/05/2025,2,323.48,98.05,10.0,Retrasado,Bogotá,Online,Laptop,1927.0,1121.36,222.0,5.0,Norte,2025-05-16,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-1693.8099999999997,PROD-11
TRX-10021,PROD-3298,06/10/2024,12,1071.11,13.41,9.0,Perdido,Bogotá,Online,Smartphone,1720.0,114.65,217.0,10.0,Bod-ext-99,2025-12-14,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,11464.11,PROD-32
TRX-10022,PROD-1814,30/12/2024,11,337.9,83.11,17.0,En Camino,Bogotá,WhatsApp,Accesorio,1055.0,657.69,190.0,5.0,Zona_franca,2025-10-07,FB-10038,1.0,5.0,sin comentario,SI,Sí,18.0,85.9,-3600.8000000000006,PROD-18
TRX-10023,PROD-3932,25/10/2024,6,864.69,40.97,28.0,Perdido,Ventas_Web,Online,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,593.2900000000002,PROD-39
TRX-10024,PROD-3661,02/12/2025,7,823.34,52.36,6.0,En Camino,Ventas_Web,App,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,398.1599999999995,PROD-36
TRX-10025,PROD-3872,06/06/2025,6,1442.68,18.69,27.0,Perdido,Barranquilla,App,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-9180,3.0,3.0,sin comentario,Maybe,Sí,50.0,-11.7,4083.5099999999998,PROD-38
TRX-10026,PROD-3232,26/10/2024,11,392.84,51.85,9.0,Devuelto,Bogotá,App,Tablets,1546.0,1016.29,210.0,5.0,Occidente,2024-09-01,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-6909.799999999999,PROD-32
TRX-10027,PROD-2718,11/10/2024,6,1645.52,11.79,23.0,Perdido,Medellín,Online,Tablets,369.0,409.07,131.0,0.0,Sur,2025-06-07,FB-9356,3.0,2.0,excelente,NO,No,23.0,48.2,7406.909999999999,PROD-27
TRX-10028,PROD-1902,21/02/2025,9,659.0,54.6,3.0,Entregado,Cali,Físico,Laptop,1880.0,239.54,150.0,10.0,Sur,2025-02-10,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,3720.54,PROD-19
TRX-10029,PROD-2839,25/01/2026,8,893.54,6.84,7.0,Perdido,Ventas_Web,Físico,Laptop,1365.0,816.63,214.0,5.0,Sur,2026-01-06,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,608.4399999999997,PROD-28
TRX-10030,PROD-3413,09/06/2025,14,1546.96,74.22,12.0,Devuelto,Barranquilla,App,Smartphone,2.0,337.38,100.0,10.0,Norte,2025-06-25,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,16859.9,PROD-34
TRX-10031,PROD-2139,05/03/2025,8,1254.53,51.36,18.0,Devuelto,Bucaramanga,Online,Laptop,1316.0,839.61,299.0,0.0,Occidente,2025-12-30,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,3267.9999999999995,PROD-21
TRX-10032,PROD-1026,08/12/2024,6,622.97,48.6,10.0,Perdido,Bogotá,WhatsApp,Laptop,1993.0,1088.27,238.0,10.0,Bod-ext-99,2024-12-07,FB-8313,3.0,4.0,excelente,NO,Sí,70.0,-53.8,-2840.3999999999996,PROD-10
TRX-10033,PROD-1653,02/08/2025,5,778.54,23.64,2.0,Perdido,Bucaramanga,WhatsApp,Monitor,28.0,605.66,223.0,3.0,Zona_franca,2024-06-24,FB-8236,2.0,5.0,lento,NO,Sí,45.0,-25.9,840.7600000000001,PROD-16
TRX-10034,PROD-3859,12/11/2025,9,618.52,39.32,17.0,Perdido,Medellín,App,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-8035,2.0,5.0,excelente,SI,No,72.0,-41.2,-1303.4599999999994,PROD-38
TRX-10035,PROD-2731,06/02/2025,12,1193.59,22.28,3.0,No especificado,Barranquilla,Online,Smartphone,162.0,562.54,137.0,5.0,Occidente,2024-07-27,FB-10198,4.0,3.0,excelente,NO,Sí,83.0,-83.0,7550.319999999999,PROD-27
TRX-10036,PROD-2393,16/09/2025,2,671.92,52.36,1.0,No especificado,Barranquilla,WhatsApp,Laptop,132.0,751.07,271.0,3.0,Zona_franca,2025-04-24,FB-9752,1.0,4.0,lento,Maybe,Sí,30.0,80.9,-210.6600000000002,PROD-23
TRX-10037,PROD-2138,18/04/2025,7,1454.14,74.86,8.0,Retrasado,Medellín,WhatsApp,Accesorio,123.0,620.31,118.0,5.0,Norte,2024-06-12,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,5761.950000000002,PROD-21
TRX-10038,PROD-1636,22/05/2025,6,1163.78,23.91,13.0,En Camino,Medellín,WhatsApp,Laptop,184.0,1407.11,290.0,5.0,Bod-ext-99,2024-09-24,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-1483.8899999999996,PROD-16
TRX-10039,PROD-1881,28/11/2024,7,299.96,63.59,11.0,Perdido,Barranquilla,Físico,Laptop,854.0,421.48,210.0,3.0,Occidente,2024-10-22,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-914.2300000000004,PROD-18
TRX-10040,PROD-2378,16/01/2025,12,627.43,31.56,8.0,Perdido,Bogotá,Físico,Laptop,1447.0,525.43,108.0,5.0,Sur,2024-12-23,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,1192.44,PROD-23
TRX-10041,PROD-1418,31/10/2025,4,450.68,67.41,20.0,En Camino,Ventas_Web,WhatsApp,No Definido,1473.0,303.24,227.0,3.0,Sur,2025-06-17,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,522.35,PROD-14
TRX-10042,PROD-1379,12/04/2025,9,786.72,56.34,1.0,Entregado,Bogotá,Online,Laptop,109.0,1305.07,157.0,5.0,Occidente,2025-04-12,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-4721.489999999999,PROD-13
TRX-10043,PROD-2556,03/10/2025,7,1036.81,45.23,2.0,Retrasado,Bogotá,WhatsApp,Tablets,1544.0,660.07,191.0,3.0,Zona_franca,2024-03-30,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,2591.9499999999994,PROD-25
TRX-10044,PROD-1396,30/05/2025,2,1018.46,68.94,18.0,Retrasado,Medellín,WhatsApp,No Definido,157.0,388.33,203.0,3.0,Zona_franca,2025-11-15,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,1191.3200000000002,PROD-13
TRX-10045,PROD-2470,12/12/2025,13,1511.5,44.49,18.0,Entregado,Medellín,Físico,Monitor,1209.0,486.4,166.0,10.0,Zona_franca,2026-01-25,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,13281.81,PROD-24
TRX-10046,PROD-2408,08/12/2025,4,386.45,83.03,9.0,En Camino,Bogotá,Online,Smartphone,985.0,221.06,167.0,30.0,Norte,2025-06-02,FB-10247,4.0,2.0,sin comentario,NO,Sí,49.0,4.3,578.53,PROD-24
TRX-10047,PROD-3472,27/06/2025,5,1893.48,74.31,7.0,En Camino,Cali,App,Smartphone,1540.0,1098.83,117.0,5.0,Occidente,2024-05-26,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,3898.94,PROD-34
TRX-10048,PROD-2083,12/01/2025,2,692.26,52.36,9.0,Devuelto,Medellín,Online,Accesorio,232.0,1074.24,255.0,5.0,Norte,2025-08-10,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-816.32,PROD-20
TRX-10049,PROD-1177,17/12/2025,10,607.5,56.36,10.0,En Camino,Bogotá,Online,Smartphone,569.0,591.51,191.0,10.0,Norte,2025-06-01,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,103.53999999999964,PROD-11
TRX-10050,PROD-3988,19/08/2025,8,1373.51,88.32,26.0,No especificado,Cali,Físico,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-9256,3.0,2.0,dañado,Maybe,Sí,28.0,-72.1,4827.92,PROD-39
TRX-10050,PROD-3988,19/08/2025,8,1373.51,88.32,26.0,No especificado,Cali,Físico,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-11145,5.0,4.0,sin comentario,NO,Sí,73.0,4.5,4827.92,PROD-39
TRX-10051,PROD-2881,08/01/2026,1,1612.98,83.74,2.0,Retrasado,Cali,Online,Tablets,1038.0,1060.2,269.0,30.0,Sur,2025-03-04,FB-9272,2.0,5.0,precio justo,NO,No,30.0,-56.6,469.03999999999996,PROD-28
TRX-10052,PROD-3196,14/05/2025,3,763.16,55.52,5.0,No especificado,Medellín,Físico,Smartphone,53.0,958.86,108.0,0.0,Sur,2025-12-11,FB-8433,4.0,5.0,sin comentario,SI,Sí,24.0,11.4,-642.6199999999999,PROD-31
TRX-10053,PROD-1511,17/03/2025,14,1496.23,11.5,17.0,Devuelto,Bogotá,Online,Tablets,73.0,87.25,202.0,5.0,Norte,2025-08-24,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,19714.22,PROD-15
TRX-10054,PROD-2550,19/10/2025,1,1768.63,58.77,2.0,Perdido,Bogotá,Físico,Monitor,987.0,60.66,222.0,30.0,Zona_franca,2024-08-12,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,1649.2,PROD-25
TRX-10055,PROD-1322,23/12/2025,5,1535.94,38.75,20.0,Perdido,Bogotá,Online,Accesorio,1193.0,642.26,163.0,10.0,Norte,2025-05-30,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,4429.650000000001,PROD-13
TRX-10056,PROD-3261,12/02/2025,8,78.05,56.31,10.0,Perdido,Medellín,Online,No Definido,1155.0,540.83,104.0,30.0,Sur,2024-03-27,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-3758.55,PROD-32
TRX-10057,PROD-2200,24/10/2024,7,1656.46,66.48,1.0,Devuelto,Bogotá,Online,Monitor,987.0,1331.34,183.0,0.0,Bod-ext-99,2024-09-30,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,2209.360000000002,PROD-22
TRX-10058,PROD-3574,22/03/2025,9,1551.22,66.26,12.0,Retrasado,Barranquilla,Online,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-10005,1.0,5.0,sin comentario,SI,Sí,48.0,-9.4,7063.9,PROD-35
TRX-10059,PROD-3533,28/11/2024,2,1341.89,68.98,24.0,En Camino,Cali,App,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,1096.8400000000001,PROD-35
TRX-10060,PROD-2481,26/09/2024,12,1522.44,52.36,15.0,Devuelto,Bucaramanga,App,Monitor,901.0,353.19,122.0,0.0,Norte,2025-12-25,FB-8481,4.0,4.0,dañado,NO,Sí,54.0,20.2,13978.64,PROD-24
TRX-10060,PROD-2481,26/09/2024,12,1522.44,52.36,15.0,Devuelto,Bucaramanga,App,Monitor,901.0,353.19,122.0,0.0,Norte,2025-12-25,FB-10595,4.0,3.0,precio justo,SIN RESPUESTA,Sí,44.0,-58.4,13978.64,PROD-24
TRX-10061,PROD-3364,05/07/2025,8,1959.06,69.53,6.0,Retrasado,Barranquilla,Físico,Accesorio,1419.0,1407.44,256.0,30.0,Bod-ext-99,2024-08-29,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,4343.429999999999,PROD-33
TRX-10062,PROD-1787,18/06/2025,8,867.91,15.38,14.0,En Camino,Barranquilla,App,No Definido,581.0,352.06,141.0,5.0,Zona_franca,2024-09-28,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,4111.419999999999,PROD-17
TRX-10063,PROD-3885,16/05/2025,14,143.77,23.21,14.0,Entregado,Cali,WhatsApp,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-8636.15,PROD-38
TRX-10064,PROD-1284,26/06/2025,6,927.17,64.9,15.0,Retrasado,Bogotá,App,Tablets,1097.0,626.64,184.0,5.0,Norte,2024-12-15,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,1738.2799999999993,PROD-12
TRX-10065,PROD-1187,02/11/2024,3,102.4,43.78,1.0,No especificado,Ventas_Web,Físico,Smartphone,1032.0,277.38,151.0,0.0,Bod-ext-99,2024-05-15,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-568.7199999999999,PROD-11
TRX-10066,PROD-3708,21/01/2025,2,595.56,77.47,25.0,No especificado,Cali,WhatsApp,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-404.3100000000002,PROD-37
TRX-10067,PROD-1933,29/01/2026,14,1177.89,16.87,17.0,Entregado,Cali,App,Laptop,425.0,488.58,100.0,3.0,Occidente,2025-07-03,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,9633.470000000003,PROD-19
TRX-10068,PROD-2185,24/06/2025,8,626.15,23.19,11.0,Perdido,Medellín,WhatsApp,Accesorio,1769.0,604.08,157.0,5.0,Norte,2024-05-12,FB-9102,2.0,5.0,lento,Maybe,Sí,46.0,25.3,153.3699999999995,PROD-21
TRX-10068,PROD-2185,24/06/2025,8,626.15,23.19,11.0,Perdido,Medellín,WhatsApp,Accesorio,1769.0,604.08,157.0,5.0,Norte,2024-05-12,FB-10686,4.0,1.0,no volvería,NO,No,19.0,-73.5,153.3699999999995,PROD-21
TRX-10069,PROD-1326,11/05/2025,6,1373.94,58.05,15.0,Perdido,Bogotá,WhatsApp,Smartphone,41.0,618.27,115.0,5.0,Occidente,2025-06-11,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,4475.969999999999,PROD-13
TRX-10070,PROD-1953,23/07/2025,4,1645.75,52.57,20.0,Retrasado,Ventas_Web,WhatsApp,Accesorio,1903.0,1140.15,281.0,0.0,Norte,2024-05-24,FB-8239,1.0,1.0,no volvería,Maybe,No,83.0,-41.1,1969.8299999999997,PROD-19
TRX-10071,PROD-1413,17/12/2024,5,846.67,30.31,16.0,No especificado,Bogotá,Físico,Laptop,405.0,424.96,230.0,3.0,Bod-ext-99,2024-05-11,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,2078.24,PROD-14
TRX-10072,PROD-2556,24/11/2024,5,1801.27,52.36,21.0,Entregado,Medellín,App,Tablets,1544.0,660.07,191.0,3.0,Zona_franca,2024-03-30,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,5653.64,PROD-25
TRX-10073,PROD-2138,31/10/2025,13,168.88,43.79,29.0,Devuelto,Bogotá,Físico,Accesorio,123.0,620.31,118.0,5.0,Norte,2024-06-12,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-5912.379999999998,PROD-21
TRX-10074,PROD-2857,02/04/2025,9,1681.83,8.32,27.0,En Camino,Bogotá,Físico,Laptop,1487.0,1308.6,157.0,10.0,Bod-ext-99,2025-07-12,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,3350.7499999999995,PROD-28
TRX-10075,PROD-3603,12/07/2025,13,1658.86,8.52,9.0,Perdido,Cali,App,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,11689.92,PROD-36
TRX-10076,PROD-2494,23/10/2024,13,650.77,14.02,29.0,Perdido,Ventas_Web,Físico,Laptop,771.0,1374.18,161.0,3.0,Zona_franca,2024-10-16,FB-10941,1.0,5.0,excelente,Maybe,No,59.0,-11.5,-9418.35,PROD-24
TRX-10077,PROD-1666,18/08/2025,9,604.44,59.8,12.0,Perdido,Barranquilla,Online,Laptop,1805.0,917.92,121.0,10.0,Zona_franca,2024-10-05,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-2881.119999999998,PROD-16
TRX-10078,PROD-2516,15/02/2025,8,617.14,87.05,2.0,Perdido,Cali,App,Smartphone,1945.0,1475.27,163.0,10.0,Occidente,2024-12-05,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-6952.09,PROD-25
TRX-10079,PROD-2455,07/01/2025,8,1624.67,29.72,15.0,No especificado,Cali,Online,Monitor,482.0,884.71,173.0,3.0,Norte,2024-04-24,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,5889.96,PROD-24
TRX-10080,PROD-1858,16/09/2025,12,1664.99,8.22,28.0,Retrasado,Ventas_Web,App,Tablets,833.0,460.76,181.0,3.0,Zona_franca,2025-08-10,FB-10987,5.0,2.0,no volvería,SIN RESPUESTA,No,56.0,-58.8,14442.540000000003,PROD-18
TRX-10081,PROD-3745,10/01/2025,2,666.15,72.32,9.0,No especificado,Ventas_Web,App,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-257.9800000000001,PROD-37
TRX-10082,PROD-2093,25/06/2025,14,1189.25,86.26,28.0,Retrasado,Barranquilla,Físico,Smartphone,1825.0,399.69,140.0,30.0,Norte,2024-10-14,FB-10801,4.0,4.0,excelente,SI,Sí,54.0,-48.5,10967.58,PROD-20
TRX-10083,PROD-3874,20/04/2025,3,286.48,18.13,16.0,Entregado,Bucaramanga,Físico,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-11277,3.0,1.0,no volvería,Maybe,No,75.0,27.6,-1435.63,PROD-38
TRX-10084,PROD-3799,08/02/2025,14,942.87,52.36,17.0,Devuelto,Medellín,Físico,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-8334,2.0,2.0,excelente,Maybe,No,68.0,-46.1,2522.099999999999,PROD-37
TRX-10084,PROD-3799,08/02/2025,14,942.87,52.36,17.0,Devuelto,Medellín,Físico,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-9769,1.0,2.0,lento,Maybe,Sí,77.0,49.1,2522.099999999999,PROD-37
TRX-10085,PROD-3654,17/12/2024,8,1997.6,41.65,20.0,Entregado,Medellín,WhatsApp,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-11560,5.0,1.0,lento,SIN RESPUESTA,Sí,61.0,39.3,9867.31,PROD-36
TRX-10086,PROD-1292,05/11/2024,13,326.09,20.08,27.0,No especificado,Bucaramanga,App,Laptop,736.0,847.31,255.0,10.0,Zona_franca,2025-08-30,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-6795.939999999999,PROD-12
TRX-10087,PROD-3495,13/12/2024,5,1895.65,15.1,23.0,No especificado,Cali,WhatsApp,No Definido,832.0,910.57,161.0,0.0,Bod-ext-99,2024-07-04,FB-9525,1.0,3.0,precio justo,Maybe,Sí,39.0,50.3,4910.299999999999,PROD-34
