SKU_ID,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision
PROD-1036,Accesorios,1059.0,1260.13,217,3,norte,2025-01-06
PROD-1037,Laptops,663.0,1406.45,152,10,Sur,2024-05-25
PROD-1038,Laptops,885.0,319.31,299,Inmediato,Norte,2025-09-05
PROD-1039,Smartphones,1901.0,590.14,231,nan,ZONA_FRANCA,2025-05-05
PROD-1040,Smartphones,191.0,1396.51,199,nan,Occidente,2025-04-08
PROD-1041,smart-phone,1993.0,139.62,104,3,BOD-EXT-99,2025-08-13
PROD-1042,Tablets,-49.0,183.92,148,Inmediato,Norte,2025-12-16
PROD-1043,???,1718.0,286.05,197,nan,BOD-EXT-99,2024-05-16
PROD-1044,Accesorios,1899.0,913.06,129,3,norte,2025-07-09
PROD-1045,Accesorios,867.0,268.18,171,25-30 días,ZONA_FRANCA,2024-11-05
PROD-1046,???,39.0,1453.71,202,3,norte,2025-01-02
PROD-1047,smart-phone,1659.0,697.74,162,5,norte,2025-04-06
PROD-1048,LAPTOP,92.0,777.2,274,25-30 días,ZONA_FRANCA,2024-03-27
PROD-1049,LAPTOP,55.0,407.65,125,Inmediato,ZONA_FRANCA,2025-08-09
PROD-1050,smart-phone,,732.89,284,25-30 días,BOD-EXT-99,2025-10-14
PROD-1051,LAPTOP,836.0,1009.77,136,25-30 días,norte,2024-03-19
PROD-1052,Smartphones,377.0,1139.21,106,Inmediato,Occidente,2025-07-14
PROD-1053,Accesorios,1278.0,1143.11,226,Inmediato,BOD-EXT-99,2025-08-17
PROD-1054,smart-phone,1845.0,887.94,267,nan,ZONA_FRANCA,2024-05-28
PROD-1055,Accesorios,1944.0,1361.32,191,5,Norte,2025-11-07
PROD-1056,???,266.0,1235.24,266,Inmediato,BOD-EXT-99,2024-04-18
PROD-1057,Laptops,1936.0,1147.72,289,10,Sur,2025-12-12
PROD-1058,Smartphones,584.0,130.63,202,10,Occidente,2025-10-12
PROD-1059,Monitores,1875.0,59.97,152,5,BOD-EXT-99,2024-10-26
PROD-1060,Smartphones,1389.0,358.05,231,3,ZONA_FRANCA,2024-11-16
PROD-1061,smart-phone,502.0,1012.11,207,3,ZONA_FRANCA,2025-05-06
PROD-1062,Monitores,665.0,646.24,211,10,Occidente,2024-07-04
PROD-1063,Laptops,1237.0,633.49,252,Inmediato,Sur,2025-02-22
PROD-1064,smart-phone,1663.0,1332.65,106,5,BOD-EXT-99,2025-08-02
PROD-1065,Tablets,1833.0,1348.57,255,3,BOD-EXT-99,2024-09-16
PROD-1066,Accesorios,1057.0,1368.3,296,3,norte,2026-01-22
PROD-1067,Laptops,1291.0,505.12,166,25-30 días,Norte,2024-09-25
PROD-1068,Accesorios,60.0,1052.03,207,10,ZONA_FRANCA,2025-06-12
PROD-1069,LAPTOP,200.0,443.87,210,Inmediato,BOD-EXT-99,2025-04-09
PROD-1070,Tablets,408.0,326.38,247,5,BOD-EXT-99,2025-06-02
PROD-1071,Tablets,1057.0,317.72,182,3,BOD-EXT-99,2024-09-10
PROD-1072,Laptops,157.0,546.06,223,25-30 días,Sur,2025-02-15
PROD-1073,Tablets,849.0,673.44,238,10,Norte,2025-05-10
PROD-1074,Monitores,-29.0,1254.88,203,10,BOD-EXT-99,2024-05-12
PROD-1075,Tablets,,223.84,166,5,Occidente,2024-04-16
PROD-1076,Accesorios,359.0,1115.64,106,3,ZONA_FRANCA,2025-07-15
PROD-1077,Accesorios,844.0,820.61,250,5,norte,2025-06-07
PROD-1078,smart-phone,464.0,467.52,288,5,Occidente,2025-03-04
PROD-1079,Accesorios,758.0,764.59,298,nan,ZONA_FRANCA,2024-12-13
PROD-1080,smart-phone,823.0,484.92,209,25-30 días,Sur,2024-10-05
PROD-1081,Accesorios,-37.0,914.32,133,10,Norte,2024-11-21
PROD-1082,Monitores,920.0,679.07,205,nan,Norte,2025-05-31
PROD-1083,???,1510.0,288.39,246,Inmediato,ZONA_FRANCA,2026-01-24
PROD-1084,smart-phone,1274.0,219.05,157,10,Occidente,2025-09-02
PROD-1085,Smartphones,1216.0,842.71,108,10,norte,2025-01-05
PROD-1086,LAPTOP,699.0,1358.5,147,25-30 días,Sur,2025-07-05
PROD-1087,Laptops,634.0,548.74,214,Inmediato,ZONA_FRANCA,2025-01-30
PROD-1088,Accesorios,1877.0,1112.85,140,3,Sur,2024-04-02
PROD-1089,Tablets,644.0,1005.06,147,Inmediato,Norte,2024-07-11
PROD-1090,???,256.0,1400.75,272,3,BOD-EXT-99,2025-11-07
PROD-1091,Accesorios,1939.0,1240.42,124,Inmediato,BOD-EXT-99,2025-12-08
PROD-1092,Tablets,611.0,871.58,215,5,norte,2024-05-08
PROD-1093,LAPTOP,498.0,1002.69,177,Inmediato,Sur,2024-11-12
PROD-1094,LAPTOP,261.0,1352.66,207,nan,ZONA_FRANCA,2024-05-22
PROD-1095,LAPTOP,1032.0,629.3,124,nan,norte,2025-04-03
PROD-1096,Tablets,1687.0,523.85,246,25-30 días,Occidente,2025-09-22
PROD-1097,Accesorios,704.0,65.68,138,3,BOD-EXT-99,2024-12-07
PROD-1098,LAPTOP,-16.0,1248.5,218,10,ZONA_FRANCA,2025-01-12
PROD-1099,Monitores,394.0,1211.42,178,25-30 días,Sur,2025-07-18
PROD-1100,smart-phone,,201.46,179,nan,norte,2025-12-16
PROD-1101,Tablets,1932.0,886.44,126,nan,ZONA_FRANCA,2025-07-13
PROD-1102,Tablets,1180.0,722.77,203,3,norte,2025-05-16
PROD-1103,Accesorios,302.0,222.13,173,nan,norte,2024-03-13
PROD-1104,Tablets,852.0,1471.82,290,nan,norte,2026-01-08
PROD-1105,Tablets,1305.0,361.31,167,3,Sur,2024-03-16
PROD-1106,LAPTOP,1698.0,147.49,246,nan,ZONA_FRANCA,2025-02-26
PROD-1107,Accesorios,108.0,912.53,127,10,Norte,2024-12-16
PROD-1108,LAPTOP,1927.0,1121.36,222,5,Norte,2025-05-16
PROD-1109,smart-phone,906.0,97.04,260,25-30 días,Sur,2025-04-21
PROD-1110,???,353.0,1005.14,237,10,Sur,2024-09-06
PROD-1111,smart-phone,465.0,821.82,182,10,BOD-EXT-99,2025-11-07
PROD-1112,???,1337.0,199.73,129,5,norte,2024-11-28
PROD-1113,LAPTOP,905.0,300.16,121,25-30 días,ZONA_FRANCA,2024-06-30
PROD-1114,smart-phone,1662.0,873.56,102,10,ZONA_FRANCA,2026-01-01
PROD-1115,Accesorios,557.0,479.72,200,nan,Occidente,2024-06-08
PROD-1116,Laptops,1223.0,1410.56,204,5,Occidente,2024-11-18
PROD-1117,LAPTOP,1485.0,1237.17,275,25-30 días,Norte,2025-02-17
PROD-1118,???,1391.0,1476.17,101,Inmediato,Occidente,2024-12-16
PROD-1119,Monitores,1747.0,426.52,153,3,Occidente,2024-08-22
PROD-1120,???,244.0,1456.1,105,nan,Norte,2025-03-28
PROD-1121,Monitores,704.0,675.29,206,5,BOD-EXT-99,2025-01-01
PROD-1122,Tablets,1344.0,553.9,267,3,Norte,2025-02-28
PROD-1123,smart-phone,135.0,123.01,222,Inmediato,Occidente,2024-03-29
PROD-1124,Monitores,1219.0,126.51,101,10,ZONA_FRANCA,2024-11-21
PROD-1125,???,,1053.42,210,10,Occidente,2024-04-09
PROD-1126,Tablets,586.0,714.0,101,25-30 días,norte,2025-02-01
PROD-1127,Laptops,1241.0,378.46,192,5,norte,2025-10-11
PROD-1128,Accesorios,479.0,940.26,282,5,norte,2025-08-09
PROD-1129,Accesorios,743.0,416.64,299,25-30 días,BOD-EXT-99,2025-09-05
PROD-1130,Accesorios,427.0,887.57,200,3,Sur,2025-08-07
PROD-1131,Monitores,1572.0,570.85,287,10,norte,2025-01-15
PROD-1132,Laptops,889.0,1244.15,196,10,ZONA_FRANCA,2025-06-23
PROD-1133,Monitores,475.0,1240.01,210,5,BOD-EXT-99,2025-05-18
PROD-1134,smart-phone,-49.0,742.16,105,5,Sur,2025-07-27
PROD-1135,Monitores,324.0,558.69,226,25-30 días,Sur,2025-04-01
PROD-1136,Laptops,502.0,575.71,203,Inmediato,norte,2025-01-19
PROD-1137,Laptops,1475.0,1218.29,246,3,Occidente,2024-06-09
PROD-1138,smart-phone,1801.0,525.86,254,nan,Norte,2025-02-23
PROD-1139,Laptops,330.0,353.14,100,Inmediato,Occidente,2025-08-29
PROD-1140,???,1596.0,172.8,132,Inmediato,Occidente,2025-12-08
PROD-1141,Laptops,-37.0,726.71,139,5,Sur,2024-11-16
PROD-1142,Accesorios,453.0,749.09,131,5,Sur,2024-03-18
PROD-1143,???,1958.0,1269.32,296,5,BOD-EXT-99,2025-07-16
PROD-1144,???,79.0,370.8,116,Inmediato,BOD-EXT-99,2024-12-25
PROD-1145,smart-phone,787.0,602.44,225,3,Sur,2024-05-28
PROD-1146,Smartphones,1990.0,1222.19,107,5,ZONA_FRANCA,2024-04-09
PROD-1147,Smartphones,-23.0,1244.25,156,10,ZONA_FRANCA,2024-05-19
PROD-1148,Laptops,1202.0,607.69,141,3,Norte,2024-06-08
PROD-1149,???,210.0,715.73,197,10,Sur,2025-08-08
PROD-1150,Smartphones,,489.76,236,3,norte,2024-11-09
PROD-1151,Smartphones,1996.0,1402.2,219,5,BOD-EXT-99,2024-08-09
PROD-1152,Laptops,1422.0,222.03,186,nan,Sur,2025-04-06
PROD-1153,Smartphones,1397.0,1403.94,262,25-30 días,ZONA_FRANCA,2025-03-31
PROD-1154,Monitores,409.0,1041.61,298,5,Sur,2025-05-10
PROD-1155,Tablets,250.0,820.78,280,Inmediato,ZONA_FRANCA,2025-07-02
PROD-1156,smart-phone,579.0,97.36,153,nan,Sur,2024-06-17
PROD-1157,Tablets,219.0,739.61,183,Inmediato,norte,2024-05-02
PROD-1158,Laptops,1943.0,641.23,124,3,Norte,2024-10-06
PROD-1159,Accesorios,1578.0,283.77,166,Inmediato,norte,2025-05-15
PROD-1160,smart-phone,1751.0,1001.79,289,nan,ZONA_FRANCA,2025-11-26
PROD-1161,Laptops,811.0,1458.17,282,nan,BOD-EXT-99,2024-07-07
PROD-1162,???,1230.0,865.17,273,5,BOD-EXT-99,2025-09-21
PROD-1163,Accesorios,1749.0,1086.39,251,10,Occidente,2024-04-23
PROD-1164,Tablets,1656.0,149.25,145,5,norte,2024-08-10
PROD-1165,Laptops,525.0,655.62,121,3,Sur,2024-09-07
PROD-1166,???,1953.0,218.72,238,Inmediato,Norte,2025-07-05
PROD-1167,smart-phone,1257.0,938.55,275,10,Sur,2025-05-24
PROD-1168,smart-phone,1906.0,1410.8,107,25-30 días,Sur,2025-12-25
PROD-1169,LAPTOP,1970.0,1009.58,138,nan,norte,2025-12-20
PROD-1170,???,1605.0,161.36,262,10,Norte,2024-05-13
PROD-1171,Monitores,1529.0,564.27,148,10,Occidente,2024-12-23
PROD-1172,Smartphones,1797.0,848.46,145,5,Sur,2025-12-17
PROD-1173,Accesorios,1340.0,634.65,137,25-30 días,Norte,2024-11-04
PROD-1174,???,1692.0,1258.78,235,nan,Occidente,2024-03-25
PROD-1175,LAPTOP,,1231.27,153,3,Sur,2025-04-02
PROD-1176,Smartphones,1875.0,937.15,264,3,Norte,2025-06-13
PROD-1177,Smartphones,569.0,591.51,191,10,norte,2025-06-01
PROD-1178,Laptops,1224.0,420.24,139,10,BOD-EXT-99,2025-04-12
PROD-1179,Smartphones,906.0,203.52,133,Inmediato,BOD-EXT-99,2025-01-14
PROD-1180,Monitores,1889.0,564.6,195,25-30 días,Sur,2025-08-27
PROD-1181,smart-phone,918.0,649.1,178,nan,Sur,2024-12-23
PROD-1182,LAPTOP,1266.0,1029.94,226,10,Norte,2026-01-31
PROD-1183,Smartphones,993.0,1004.33,116,Inmediato,BOD-EXT-99,2025-06-29
PROD-1184,Laptops,231.0,151.66,260,25-30 días,Sur,2024-09-12
PROD-1185,Monitores,1008.0,623.13,274,nan,Occidente,2024-06-30
PROD-1186,Tablets,147.0,313.58,209,3,Sur,2026-01-02
PROD-1187,smart-phone,1032.0,277.38,151,Inmediato,BOD-EXT-99,2024-05-15
PROD-1188,smart-phone,1134.0,1249.59,217,25-30 días,ZONA_FRANCA,2024-08-30
PROD-1189,LAPTOP,958.0,110.78,108,Inmediato,BOD-EXT-99,2025-05-02
PROD-1190,smart-phone,1179.0,657.82,132,10,Occidente,2024-09-27
PROD-1191,Smartphones,985.0,293.9,287,5,Norte,2025-12-27
PROD-1192,Laptops,439.0,1325.03,212,3,Occidente,2025-03-27
PROD-1193,smart-phone,225.0,857.71,248,10,ZONA_FRANCA,2025-12-19
PROD-1194,smart-phone,1189.0,385.5,285,10,ZONA_FRANCA,2025-08-30
PROD-1195,Tablets,1224.0,778.52,184,25-30 días,Sur,2025-11-16
PROD-1196,Tablets,75.0,1110.66,296,Inmediato,Sur,2024-06-21
PROD-1197,Accesorios,166.0,1439.27,109,3,BOD-EXT-99,2024-05-29
PROD-1198,Monitores,1158.0,369.65,105,10,norte,2024-11-20
PROD-1199,Smartphones,1196.0,1334.96,214,25-30 días,Occidente,2024-11-26
PROD-1200,smart-phone,,1404.74,220,3,BOD-EXT-99,2024-08-08
PROD-1201,???,868.0,1378.81,240,Inmediato,norte,2025-12-24
PROD-1202,smart-phone,1267.0,971.35,164,10,BOD-EXT-99,2025-06-07
PROD-1203,Laptops,1611.0,963.24,119,nan,ZONA_FRANCA,2026-01-19
PROD-1204,Accesorios,257.0,634.66,156,10,Sur,2025-10-02
PROD-1205,Monitores,1309.0,1140.98,145,10,Sur,2025-09-10
PROD-1206,???,1919.0,820.38,235,3,BOD-EXT-99,2024-03-19
PROD-1207,Accesorios,841.0,1032.29,109,3,Sur,2024-11-03
PROD-1208,LAPTOP,324.0,671.26,212,3,Norte,2025-01-29
PROD-1209,Monitores,1983.0,1110.67,294,3,BOD-EXT-99,2025-05-30
PROD-1210,smart-phone,1314.0,1245.48,238,25-30 días,ZONA_FRANCA,2025-12-18
PROD-1211,smart-phone,78.0,262.33,111,5,BOD-EXT-99,2025-01-22
PROD-1212,Monitores,964.0,1257.75,237,25-30 días,BOD-EXT-99,2025-04-16
PROD-1213,smart-phone,1749.0,833.43,252,10,Sur,2025-07-09
PROD-1214,Smartphones,1331.0,1274.77,276,25-30 días,ZONA_FRANCA,2024-08-31
PROD-1215,Monitores,466.0,675.39,276,Inmediato,BOD-EXT-99,2025-06-04
PROD-1216,Accesorios,1468.0,599.61,110,nan,Sur,2024-05-20
PROD-1217,Monitores,35.0,1376.84,289,3,Occidente,2025-10-10
PROD-1218,???,1148.0,414.2,217,Inmediato,ZONA_FRANCA,2025-04-05
PROD-1219,smart-phone,1092.0,1274.11,263,nan,norte,2025-05-01
PROD-1220,Smartphones,1943.0,751.83,138,Inmediato,Norte,2025-10-28
PROD-1221,Smartphones,252.0,795.44,152,10,norte,2025-04-13
PROD-1222,LAPTOP,537.0,497.28,155,3,ZONA_FRANCA,2025-02-06
PROD-1223,Accesorios,936.0,880.91,203,Inmediato,BOD-EXT-99,2025-04-19
PROD-1224,Tablets,1813.0,521.56,228,10,Sur,2025-08-31
PROD-1225,Tablets,,106.94,155,3,ZONA_FRANCA,2024-07-11
PROD-1226,Monitores,294.0,444.4,217,5,Norte,2024-12-05
PROD-1227,LAPTOP,763.0,59.25,231,10,ZONA_FRANCA,2025-12-13
PROD-1228,Laptops,1937.0,1468.61,129,25-30 días,Sur,2025-07-09
PROD-1229,Monitores,1260.0,1450.33,111,3,norte,2024-07-17
PROD-1230,LAPTOP,1949.0,622.98,134,Inmediato,Occidente,2024-04-10
PROD-1231,Accesorios,1627.0,1106.14,176,nan,norte,2024-07-16
PROD-1232,Accesorios,1277.0,551.42,279,Inmediato,Sur,2025-07-03
PROD-1233,Accesorios,1042.0,1023.09,258,25-30 días,Sur,2025-11-27
PROD-1234,Accesorios,959.0,1217.87,201,25-30 días,Norte,2025-06-14
PROD-1235,Accesorios,653.0,1422.8,186,Inmediato,ZONA_FRANCA,2024-04-09
PROD-1236,LAPTOP,524.0,630.31,295,nan,ZONA_FRANCA,2025-03-18
PROD-1237,LAPTOP,1558.0,1185.78,151,3,norte,2025-09-17
PROD-1238,Smartphones,1062.0,435.6,179,10,Occidente,2024-04-25
PROD-1239,???,637.0,1485.98,234,25-30 días,Occidente,2024-07-15
PROD-1240,Tablets,438.0,87.37,121,25-30 días,Norte,2025-11-28
PROD-1241,smart-phone,1297.0,925.12,174,25-30 días,Sur,2024-09-05
PROD-1242,Accesorios,443.0,1006.28,283,nan,Norte,2025-09-22
PROD-1243,Laptops,1617.0,1047.67,157,5,ZONA_FRANCA,2025-03-04
PROD-1244,smart-phone,1587.0,224.56,192,nan,BOD-EXT-99,2025-12-31
PROD-1245,LAPTOP,-32.0,1410.87,291,3,BOD-EXT-99,2024-09-21
PROD-1246,Laptops,950.0,312.72,202,3,BOD-EXT-99,2025-06-03
PROD-1247,Laptops,800.0,952.99,239,3,Sur,2025-07-24
PROD-1248,Laptops,1338.0,372.88,106,3,Norte,2025-09-12
PROD-1249,Smartphones,1304.0,495.46,227,3,norte,2024-04-12
PROD-1250,LAPTOP,,842.36,154,Inmediato,ZONA_FRANCA,2024-06-10
PROD-1251,Laptops,1317.0,654.93,205,25-30 días,BOD-EXT-99,2024-07-20
PROD-1252,Accesorios,771.0,282.33,161,nan,Occidente,2024-04-24
PROD-1253,Monitores,404.0,297.86,189,Inmediato,Norte,2025-07-25
PROD-1254,Laptops,1574.0,656.31,197,nan,ZONA_FRANCA,2025-09-05
PROD-1255,Smartphones,660.0,1148.06,176,5,ZONA_FRANCA,2024-06-12
PROD-1256,smart-phone,866.0,1352.05,282,10,Occidente,2024-12-12
PROD-1257,LAPTOP,1446.0,171.99,218,25-30 días,Occidente,2024-08-30
PROD-1258,???,1390.0,620.0,135,5,Occidente,2026-01-16
PROD-1259,Smartphones,254.0,195.36,188,Inmediato,BOD-EXT-99,2025-10-18
PROD-1260,Laptops,685.0,74.06,251,10,BOD-EXT-99,2025-04-24
PROD-1261,LAPTOP,1913.0,1009.49,271,5,Norte,2025-10-20
PROD-1262,Monitores,1959.0,923.55,244,nan,Occidente,2025-02-05
PROD-1263,Laptops,911.0,286.38,229,10,norte,2024-04-14
PROD-1264,Smartphones,976.0,389.03,240,nan,ZONA_FRANCA,2025-12-28
PROD-1265,Tablets,1423.0,84.38,258,5,Occidente,2025-10-11
PROD-1266,Accesorios,1897.0,1260.67,192,Inmediato,ZONA_FRANCA,2025-03-30
PROD-1267,???,1127.0,1463.3,213,nan,Sur,2025-12-10
PROD-1268,smart-phone,614.0,246.42,127,10,Sur,2025-11-12
PROD-1269,Smartphones,-39.0,385.64,287,5,Occidente,2024-05-26
PROD-1270,LAPTOP,1106.0,1309.19,254,nan,ZONA_FRANCA,2025-01-28
PROD-1271,???,253.0,1393.37,242,Inmediato,Sur,2025-06-04
PROD-1272,???,1713.0,658.46,132,25-30 días,Occidente,2026-01-01
PROD-1273,???,-8.0,123.4,119,Inmediato,ZONA_FRANCA,2025-02-05
PROD-1274,Laptops,893.0,107.12,269,Inmediato,Occidente,2025-06-13
PROD-1275,Accesorios,,882.23,239,25-30 días,BOD-EXT-99,2024-06-01
PROD-1276,Laptops,1299.0,619.7,200,Inmediato,ZONA_FRANCA,2025-12-29
PROD-1277,LAPTOP,840.0,91.55,122,25-30 días,Sur,2025-06-03
PROD-1278,Laptops,954.0,895.72,299,25-30 días,Occidente,2025-12-04
PROD-1279,Tablets,-30.0,66.39,211,nan,Sur,2024-08-21
PROD-1280,Accesorios,356.0,1191.69,113,nan,Occidente,2025-11-15
PROD-1281,Accesorios,964.0,494.33,190,25-30 días,Norte,2025-04-05
PROD-1282,LAPTOP,285.0,108.37,252,5,Sur,2024-03-25
PROD-1283,smart-phone,1788.0,903.11,176,10,Sur,2025-10-12
PROD-1284,Tablets,1097.0,626.64,184,5,norte,2024-12-15
PROD-1285,Smartphones,1777.0,1462.01,208,25-30 días,BOD-EXT-99,2025-03-21
PROD-1286,Laptops,664.0,839.09,130,10,Sur,2025-09-09
PROD-1287,Monitores,0.0,449.1,221,nan,ZONA_FRANCA,2024-04-04
PROD-1288,Laptops,273.0,1078.69,206,10,Occidente,2024-03-13
PROD-1289,???,738.0,443.66,153,25-30 días,Norte,2024-04-24
PROD-1290,Laptops,90.0,1361.15,232,nan,ZONA_FRANCA,2026-01-14
PROD-1291,Smartphones,419.0,593.35,240,10,ZONA_FRANCA,2025-02-15
PROD-1292,Laptops,736.0,847.31,255,10,ZONA_FRANCA,2025-08-30
PROD-1293,Tablets,1775.0,123.33,142,5,ZONA_FRANCA,2024-09-13
PROD-1294,Tablets,1307.0,667.88,188,10,Norte,2025-02-06
PROD-1295,Accesorios,1866.0,1256.93,214,25-30 días,norte,2025-03-06
PROD-1296,LAPTOP,913.0,1218.19,198,3,BOD-EXT-99,2024-08-22
PROD-1297,smart-phone,322.0,375.26,146,3,Sur,2026-01-20
PROD-1298,Monitores,1642.0,377.81,170,3,ZONA_FRANCA,2025-11-18
PROD-1299,???,1129.0,1235.09,265,25-30 días,Sur,2025-07-04
PROD-1300,Laptops,,1399.08,166,3,Sur,2024-03-12
PROD-1301,Laptops,1621.0,188.27,161,5,ZONA_FRANCA,2024-05-01
PROD-1302,Smartphones,55.0,702.59,208,25-30 días,norte,2025-04-24
PROD-1303,LAPTOP,1393.0,539.31,266,nan,Sur,2025-07-21
PROD-1304,Tablets,1631.0,1312.5,136,25-30 días,Occidente,2026-01-02
PROD-1305,Monitores,-49.0,171.11,218,25-30 días,Sur,2026-01-23
PROD-1306,Accesorios,299.0,356.13,185,10,BOD-EXT-99,2025-03-29
PROD-1307,Tablets,1236.0,1141.08,225,10,ZONA_FRANCA,2024-11-13
PROD-1308,???,1012.0,124.38,235,10,Norte,2025-03-28
PROD-1309,LAPTOP,394.0,764.18,151,Inmediato,Sur,2024-03-26
PROD-1310,???,901.0,691.06,190,5,norte,2024-12-02
PROD-1311,smart-phone,-15.0,534.88,132,25-30 días,Occidente,2024-06-20
PROD-1312,Accesorios,1057.0,622.13,180,25-30 días,Occidente,2024-03-12
PROD-1313,smart-phone,1425.0,818.41,141,10,Norte,2025-11-02
PROD-1314,Smartphones,1748.0,283.98,211,25-30 días,BOD-EXT-99,2024-11-02
PROD-1315,???,1795.0,879.39,225,nan,Norte,2024-11-14
PROD-1316,Smartphones,1358.0,1217.88,254,25-30 días,BOD-EXT-99,2025-11-14
PROD-1317,Laptops,1145.0,1152.23,235,3,Sur,2024-10-14
PROD-1318,smart-phone,1349.0,273.15,250,nan,ZONA_FRANCA,2025-10-21
PROD-1319,LAPTOP,1658.0,266.41,205,nan,norte,2024-05-19
PROD-1320,???,1335.0,438.85,224,25-30 días,Occidente,2024-11-02
PROD-1321,Monitores,1250.0,573.56,212,Inmediato,Norte,2025-03-24
PROD-1322,Accesorios,1193.0,642.26,163,10,norte,2025-05-30
PROD-1323,Tablets,470.0,1035.56,222,5,BOD-EXT-99,2025-06-12
PROD-1324,LAPTOP,1756.0,132.19,213,5,ZONA_FRANCA,2024-06-17
PROD-1325,LAPTOP,,100.28,119,3,Occidente,2024-04-28
PROD-1326,Smartphones,-41.0,618.27,115,5,Occidente,2025-06-11
PROD-1327,smart-phone,933.0,1060.89,244,5,BOD-EXT-99,2025-01-10
PROD-1328,???,1606.0,330.48,118,10,ZONA_FRANCA,2024-05-31
PROD-1329,???,1610.0,980.18,219,10,Occidente,2025-12-25
PROD-1330,Laptops,669.0,426.75,235,Inmediato,ZONA_FRANCA,2025-08-24
PROD-1331,Laptops,1022.0,1334.82,265,3,Occidente,2024-10-27
PROD-1332,Accesorios,808.0,1348.75,137,5,Sur,2024-11-09
PROD-1333,Smartphones,1266.0,481.07,280,Inmediato,BOD-EXT-99,2025-10-07
PROD-1334,LAPTOP,1553.0,383.49,192,3,ZONA_FRANCA,2025-06-05
PROD-1335,???,-1.0,646.39,204,nan,norte,2026-01-06
PROD-1336,Monitores,95.0,398.77,199,5,Sur,2024-04-24
PROD-1337,Smartphones,864.0,1024.96,189,5,norte,2024-07-19
PROD-1338,Accesorios,1412.0,1247.79,258,10,BOD-EXT-99,2025-04-09
PROD-1339,Accesorios,530.0,1025.98,143,25-30 días,Occidente,2025-08-31
PROD-1340,Smartphones,1534.0,1245.31,287,3,norte,2024-04-20
PROD-1341,Accesorios,432.0,625.64,175,5,Sur,2024-10-21
PROD-1342,Smartphones,1199.0,276.66,244,3,ZONA_FRANCA,2025-12-14
PROD-1343,Tablets,622.0,1120.03,178,Inmediato,Norte,2024-04-18
PROD-1344,Smartphones,580.0,572.69,172,Inmediato,norte,2025-12-17
PROD-1345,smart-phone,611.0,1023.34,266,25-30 días,Norte,2024-03-28
