Feedback_ID,Transaccion_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS
FB-8254,TRX-16166,4,5,---,SI,0,54,-44.8
FB-8255,TRX-19851,2,5,---,NO,1,41,15.7
FB-8256,TRX-15864,2,3,Lento,N/A,0,57,63.9
FB-8257,TRX-16336,1,2,N/A,NO,No,27,54.7
FB-8258,TRX-12903,4,5,Dañado,Maybe,Sí,48,37.0
FB-8259,TRX-10138,2,5,Precio justo,Maybe,0,68,86.5
FB-8260,TRX-12044,5,4,Precio justo,SI,Sí,71,-51.4
FB-8261,TRX-17580,5,5,Excelente,N/A,1,70,-53.1
FB-8262,TRX-16069,1,2,Dañado,NO,1,37,-90.7
FB-8263,TRX-13161,2,4,---,N/A,0,48,40.7
FB-8264,TRX-17283,4,4,No volvería,Maybe,0,33,60.2
FB-8265,TRX-10153,1,2,Lento,Maybe,No,60,-48.1
FB-8266,TRX-13629,1,3,No volvería,SI,Sí,28,58.1
FB-8267,TRX-10324,3,1,Precio justo,NO,0,65,41.8
FB-8268,TRX-14606,1,5,N/A,NO,0,57,8.2
FB-8269,TRX-15862,3,3,Lento,N/A,0,36,10.7
FB-8270,TRX-13137,3,1,---,N/A,0,82,41.0
FB-8271,TRX-11474,2,2,No volvería,Maybe,0,75,99.6
FB-8272,TRX-14967,5,5,Lento,SI,0,44,-36.2
FB-8273,TRX-13623,4,3,No volvería,Maybe,No,58,-85.5
FB-8274,TRX-13838,1,1,Lento,N/A,0,31,39.9
FB-8275,TRX-18090,2,2,No volvería,SI,No,52,-94.2
FB-8276,TRX-15947,4,4,No volvería,N/A,Sí,19,79.0
FB-8277,TRX-10602,1,4,Lento,NO,Sí,30,94.5
FB-8278,TRX-14599,5,4,Excelente,N/A,No,53,45.3
FB-8279,TRX-18074,5,2,Lento,Maybe,0,59,-31.4
FB-8280,TRX-19929,3,1,N/A,SI,1,41,-54.9
FB-8281,TRX-13425,3,2,No volvería,SI,1,32,-78.0
FB-8282,TRX-10116,4,4,Dañado,SI,0,24,-98.8
FB-8283,TRX-13212,1,2,Precio justo,Maybe,0,20,-13.9
FB-8284,TRX-16489,3,5,Excelente,Maybe,0,37,29.4
FB-8285,TRX-11817,2,1,N/A,Maybe,Sí,60,-24.7
FB-8286,TRX-14544,3,5,Lento,NO,0,43,-12.4
FB-8287,TRX-19324,4,4,Precio justo,SI,Sí,62,37.0
FB-8288,TRX-18197,2,1,N/A,SI,No,45,-18.2
FB-8289,TRX-18093,5,5,Excelente,SI,1,62,54.7
FB-8290,TRX-12793,2,2,Dañado,SI,Sí,77,28.5
FB-8291,TRX-19040,4,3,---,NO,Sí,57,34.3
FB-8292,TRX-13174,5,2,Precio justo,SI,1,26,23.9
FB-8293,TRX-19268,1,4,N/A,NO,Sí,57,-76.1
FB-8294,TRX-19879,4,3,Lento,N/A,Sí,31,36.8
FB-8295,TRX-19259,3,1,Dañado,Maybe,0,27,18.4
FB-8296,TRX-12875,4,3,Lento,Maybe,1,65,14.9
FB-8297,TRX-11070,4,1,N/A,SI,Sí,32,19.7
FB-8298,TRX-19636,4,5,Precio justo,Maybe,No,62,97.4
FB-8299,TRX-12101,5,5,Lento,SI,0,75,-12.8
FB-8300,TRX-11065,99,5,N/A,NO,1,36,-78.8
FB-8301,TRX-12087,4,5,Dañado,Maybe,No,65,2.6
FB-8302,TRX-14253,1,5,---,Maybe,1,45,-70.0
FB-8303,TRX-19337,4,3,Dañado,NO,1,61,61.3
FB-8304,TRX-13734,3,1,Precio justo,NO,1,39,-50.1
FB-8305,TRX-18570,2,5,Precio justo,N/A,Sí,57,99.1
FB-8306,TRX-14494,5,5,No volvería,NO,1,61,-64.5
FB-8307,TRX-13143,3,1,Dañado,SI,1,48,-24.4
FB-8308,TRX-10378,1,3,N/A,SI,1,22,-70.8
FB-8309,TRX-18731,4,5,No volvería,Maybe,Sí,46,-16.2
FB-8310,TRX-14143,5,3,Lento,Maybe,0,83,-3.2
FB-8311,TRX-19176,5,5,Precio justo,NO,Sí,31,48.7
FB-8312,TRX-17437,5,3,N/A,SI,Sí,76,-99.7
FB-8313,TRX-10032,3,4,Excelente,NO,Sí,70,-53.8
FB-8314,TRX-16997,2,5,N/A,NO,1,46,-46.0
FB-8315,TRX-10849,2,5,Lento,SI,0,21,20.1
FB-8316,TRX-15292,1,2,No volvería,Maybe,No,49,-44.6
FB-8317,TRX-17086,3,2,Dañado,Maybe,1,66,-2.6
FB-8318,TRX-16666,3,3,Precio justo,Maybe,No,55,-2.4
FB-8319,TRX-14489,3,2,Precio justo,Maybe,No,46,62.1
FB-8320,TRX-11994,4,3,N/A,N/A,0,18,75.2
FB-8321,TRX-18491,3,5,---,N/A,0,20,95.4
FB-8322,TRX-17644,3,5,Lento,Maybe,Sí,59,68.2
FB-8323,TRX-18119,5,4,N/A,SI,No,49,75.6
FB-8324,TRX-15922,5,4,Lento,SI,Sí,40,94.2
FB-8325,TRX-18474,5,2,Precio justo,NO,No,43,65.5
FB-8326,TRX-10712,3,5,No volvería,N/A,Sí,55,-59.1
FB-8327,TRX-13678,3,3,Dañado,Maybe,0,39,58.5
FB-8328,TRX-10769,5,2,Precio justo,Maybe,No,29,41.9
FB-8329,TRX-14553,1,4,Precio justo,SI,No,80,11.2
FB-8330,TRX-16882,1,1,Lento,NO,0,33,-65.1
FB-8331,TRX-18723,2,3,Dañado,SI,No,75,-90.4
FB-8332,TRX-17354,4,1,Precio justo,N/A,Sí,32,-56.6
FB-8333,TRX-15181,4,2,Lento,SI,Sí,22,75.4
FB-8334,TRX-10084,2,2,Excelente,Maybe,No,68,-46.1
FB-8335,TRX-16420,5,1,---,SI,No,58,-10.6
FB-8336,TRX-13188,5,2,Precio justo,SI,Sí,21,99.5
FB-8337,TRX-15483,3,2,Excelente,Maybe,0,64,1.9
FB-8338,TRX-11340,4,5,Dañado,N/A,0,39,53.5
FB-8339,TRX-19368,3,3,Dañado,N/A,Sí,48,59.0
FB-8340,TRX-10415,3,4,Precio justo,N/A,0,46,75.9
FB-8341,TRX-13696,4,5,---,N/A,0,58,-33.4
FB-8342,TRX-16943,5,2,N/A,Maybe,No,78,-69.5
FB-8343,TRX-11219,1,4,No volvería,N/A,1,70,77.7
FB-8344,TRX-14095,5,2,Lento,Maybe,Sí,33,21.9
FB-8345,TRX-13225,5,3,Lento,Maybe,1,72,19.2
FB-8346,TRX-12694,3,2,No volvería,SI,Sí,34,14.0
FB-8347,TRX-15394,3,1,---,SI,0,35,-93.0
FB-8348,TRX-15092,3,1,Excelente,Maybe,0,54,-50.2
FB-8349,TRX-11029,4,1,N/A,SI,No,77,34.5
FB-8350,TRX-11584,4,1,N/A,SI,No,46,-93.4
FB-8351,TRX-10456,2,4,Dañado,NO,0,39,21.3
FB-8352,TRX-17863,3,1,Precio justo,NO,No,71,-90.0
FB-8353,TRX-17077,4,2,Lento,NO,No,62,-98.3
FB-8354,TRX-10393,2,5,Lento,N/A,Sí,69,78.3
FB-8355,TRX-19708,3,2,Precio justo,SI,No,75,82.2
FB-8356,TRX-15477,3,2,Precio justo,N/A,0,20,-42.0
FB-8357,TRX-14102,1,2,Lento,Maybe,0,18,73.0
FB-8358,TRX-14049,4,2,Lento,N/A,0,72,-85.0
FB-8359,TRX-11766,2,5,Lento,SI,No,62,-17.7
FB-8360,TRX-17759,3,1,Precio justo,NO,No,74,-4.7
FB-8361,TRX-13905,4,3,N/A,N/A,1,34,-18.3
FB-8362,TRX-15583,2,4,Excelente,SI,0,46,-30.3
FB-8363,TRX-10891,1,5,Lento,NO,No,35,22.3
FB-8364,TRX-15465,2,5,---,Maybe,1,26,35.3
FB-8365,TRX-18514,3,5,---,Maybe,0,32,91.7
FB-8366,TRX-13878,5,4,Excelente,Maybe,0,26,-74.7
FB-8367,TRX-11194,5,2,Lento,N/A,0,48,80.1
FB-8368,TRX-19829,1,4,Precio justo,Maybe,Sí,19,59.5
FB-8369,TRX-17184,3,5,No volvería,N/A,0,71,-43.5
FB-8370,TRX-11567,3,2,Excelente,N/A,0,65,-59.9
FB-8371,TRX-17314,4,5,---,N/A,1,18,-76.7
FB-8372,TRX-19485,5,3,---,N/A,0,80,-15.3
FB-8373,TRX-12045,4,1,No volvería,NO,Sí,51,10.0
FB-8374,TRX-11401,3,1,Lento,NO,No,82,14.0
FB-8375,TRX-10994,1,5,---,N/A,0,28,-16.6
FB-8376,TRX-10546,5,2,Lento,NO,No,26,37.1
FB-8377,TRX-16183,4,3,N/A,SI,Sí,24,41.6
FB-8378,TRX-15132,1,3,Precio justo,NO,1,63,3.0
FB-8379,TRX-11065,3,2,No volvería,Maybe,1,54,10.3
FB-8380,TRX-12089,2,2,No volvería,N/A,No,66,-61.0
FB-8381,TRX-11015,2,3,Lento,NO,No,25,10.8
FB-8382,TRX-17240,5,1,---,NO,No,78,-84.9
FB-8383,TRX-10897,1,1,Dañado,N/A,Sí,53,14.1
FB-8384,TRX-14939,4,3,---,N/A,No,19,28.6
FB-8385,TRX-17075,1,4,---,SI,No,62,96.4
FB-8386,TRX-11077,5,3,N/A,SI,No,23,-15.0
FB-8387,TRX-11668,3,5,---,N/A,Sí,54,-0.9
FB-8388,TRX-10914,1,4,Dañado,N/A,Sí,74,-9.6
FB-8389,TRX-19162,5,2,No volvería,SI,Sí,36,-48.0
FB-8390,TRX-10855,5,3,---,SI,Sí,69,-81.1
FB-8391,TRX-14831,4,3,No volvería,NO,Sí,48,28.1
FB-8392,TRX-16249,3,4,---,NO,0,64,-85.6
FB-8393,TRX-16581,1,3,Excelente,Maybe,No,56,-14.0
FB-8394,TRX-11570,5,5,Lento,Maybe,Sí,68,-97.8
FB-8395,TRX-16735,3,1,Dañado,SI,0,72,88.1
FB-8396,TRX-13819,4,3,Precio justo,N/A,No,38,39.5
FB-8397,TRX-19823,5,1,Excelente,N/A,1,50,-55.4
FB-8398,TRX-10173,4,2,Dañado,NO,Sí,38,-44.8
FB-8399,TRX-17428,3,2,Lento,Maybe,1,27,-35.6
FB-8400,TRX-16290,4,3,Lento,NO,0,195,3.8
FB-8401,TRX-17605,1,2,N/A,N/A,Sí,21,26.4
FB-8402,TRX-17014,4,3,Lento,NO,No,65,-84.7
FB-8403,TRX-11659,2,1,Dañado,NO,0,74,32.1
FB-8404,TRX-15564,2,4,Lento,NO,No,29,-85.1
